"Registration #","Salesforce #",Name,Type,Venue,Denomination,Location,Missionary,"Created Date","Expiration Date",Puggles,Cubbies,Sparks,Flame,Torch,"Truth Seekers","Living God's Story",T&T,"Jr. Varsity",Trek,Journey,Descubrelo,"Building Healthy Families",Total,Leaders
TZ000245,1046009,"FREE PENTECOSTE CHURCH OF TANZANIA","Leader based",Church,Pentecostal,RUKWA,"Yohana Simkanga","1/11/2018 12:29:02 AM","Jan 2027",0,58,69,59,59,0,0,0,0,0,0,0,0,245,14
TZ000246,1046010,"FREE PENTECOSTE CHURCH OF TANZANIA","Leader based",Church,Pentecostal,RUKWA,"Yohana Simkanga","1/11/2018 12:26:19 AM","Jan 2027",0,26,29,27,28,0,0,0,0,0,0,0,0,110,9
TZ000247,1046012,"FREE PENTECOSTE CHURCH OF TANZANIA","Leader based",Church,Pentecostal,RUKWA,"Yohana Simkanga","1/11/2018 12:29:10 AM","Jan 2027",0,18,28,29,36,0,0,0,0,0,0,0,0,111,7
TZ000248,1046013,"FREE PENTECOSTE CHURCH OF TANZANIA","Leader based",Church,Pentecostal,RUKWA,"Yohana Simkanga","1/11/2018 12:26:15 AM","Jan 2027",0,17,29,28,29,0,0,0,0,0,0,0,0,103,8
TZ000249,1046015,"Free Pentecoste Church of Tanzania","Leader based",Church,Pentecostal,RUKWA,"Yohana Simkanga","1/11/2018 12:26:34 AM","Jan 2027",0,68,69,88,69,0,0,0,0,0,0,0,0,294,17
TZ000250,1046017,"FREE PENTECOSTE CHURCH OF TANZANIA","Leader based",Church,Pentecostal,RUKWA,"Yohana Simkanga","1/11/2018 12:28:35 AM","Jan 2027",0,17,28,27,25,0,0,0,0,0,0,0,0,97,8
TZ000251,1046018,"EVANGELISTIC ASSEMBLIES OF GOD","Leader based",Church,"Assembly of God",RUKWA,"Yohana Simkanga","1/11/2018 12:26:14 AM","Jan 2027",0,37,37,38,39,0,0,0,0,0,0,0,0,151,9
TZ000252,1046019,"FREE PENTECOSTE CHURCH OF TANZANIA","Leader based",Church,Pentecostal,RUKWA,"Yohana Simkanga","1/11/2018 12:28:16 AM","Jan 2027",0,37,59,59,37,0,0,0,0,0,0,0,0,192,8
TZ000254,1046024,"Free Pentecoste Church of Tanzania","Leader based",Church,Pentecostal,RUKWA,"Yohana Simkanga","1/11/2018 12:26:34 AM","Jan 2027",0,22,38,36,38,0,0,0,0,0,0,0,0,134,18
TZ000255,1046025,"Tanzania Assemblies of God JC Centre -","Leader based",Church,"Assembly of God",RUKWA,"Yohana Simkanga","1/11/2018 12:28:16 AM","Jan 2027",0,17,38,29,27,0,0,0,0,0,0,0,0,111,8
TZ000256,1046026,"Free Pentecoste Church of Tanzania","Leader based",Church,Pentecostal,RUKWA,"Yohana Simkanga","1/11/2018 12:26:39 AM","Jan 2027",0,18,28,29,26,0,0,0,0,0,0,0,0,101,7
TZ000257,1046027,"Tanzania Assemblies of God Laela","Leader based",Church,"Assembly of God",RUKWA,"Yohana Simkanga","1/11/2018 12:26:34 AM","Jan 2027",0,27,29,39,29,0,0,0,0,0,0,0,0,124,9
TZ000258,1046028,"Tanzania Assemblies of God Majimoto","Leader based",Church,"Assembly of God",RUKWA,"Yohana Simkanga","1/11/2018 12:26:22 AM","Jan 2027",0,19,39,37,33,0,0,0,0,0,0,0,0,128,9
TZ000259,1046029,"Free Pentecoste Church of Tanzania","Leader based",Church,Pentecostal,RUKWA,"Yohana Simkanga","1/11/2018 12:28:10 AM","Jan 2027",0,28,45,39,45,0,0,0,0,0,0,0,0,157,7
TZ000260,1046030,"Free Pentecoste Church of Tanzania","Leader based",Church,Pentecostal,RUKWA,"Yohana Simkanga","1/11/2018 12:28:10 AM","Jan 2027",0,19,36,38,27,0,0,0,0,0,0,0,0,120,8
